id,이름,종류,주소,연락처,평일,주말,휴무
P001,다운타우너한남점,D002,서울특별시 용산구 한남동 683-63,070-8806-3696,11:00-21:00(lastorder20:00),11:00-21:00(lastorder20:00),-
P002,호랑이,D001,서울특별시 중구 산림동 207-2,02-2269-5880,11:00-19:30(마지막주문19:00),11:00-19:30(마지막주문19:00),일 월
P003,버드나무브루어리,D002,강원도 강릉시 홍제동 93-8,033-920-9380,00:00-23:59,00:00-23:59,-
P004,울프소셜클럽,D001,서울특별시 용산구 한남동 795-2,02-158-1588,12:00-22:00,12:00-22:00,일
P005,다운타우너안국점,D002,서울특별시 종로구 재동 85-3 1층,070-8870-3696,11:00-21:00(lastorder20:00),11:00-21:00(lastorder20:00),-
P006,파머스키친,D002,강원도 양양군 현남면 동산리 7,010-3022-0984,월 목11:00-15:00 금11:00-18:00,11:00-18:00(브레이크타임전라스트오더14:30),금 토 일 15:00-16:00
P007,프릳츠양재점,D001,서울특별시 서초구 서초동 1363-10,02-521-4148,08:00-21:00,10:00-21:00,-
P008,브라이리퍼블릭,D002,서울특별시 용산구 이태원동 63-4,070-8879-1967,월17:00-21:00 화 수 목 금12:00-21:00,12:00-21:00,일
P009,녹기전에,D001,서울 마포구 염리동 148-22,070-8829-8020,12:00-22:00,12:00-20:00,화
P010,카페차,D001,서울특별시 성동구 성수동1가 685-408,070-8887-1014,11:00-22:00,11:00-22:00,-
P011,돈이랑,D002,제주특별자치도 서귀포시 색달동 2182,064-738-9277,11:30-22:00,11:30-22:00,브레이크타임 15:30-16:00
P012,농도,D001,울산 울주군 상북면 등억알프스리 454-39 농도,052-264-1700,11:00-21:00,11:00-21:00,-
P013,브레라,D002,서울시 중구 신당동 366-440,02-2236-0770,11:00-23:00,11:00-23:00,-
P014,자유빵집,D001,강원도 춘천시 후평동 735-23,033-911-9871,월10:30-18:00 수-금10:30-18:00,토 10:30-18:00  일 10:30-18:00,화
P015,로스티아,D002,전라남도 여수시 돌산읍 평사리 1387-1,061-641-6406,10:00-20:00,10:00-20:00,-
P016,히든트랙헤이즐,D001,서울 마포구 연남동 240-38,-,13:00-22:00,13:00-21:00,수 일
P017,힐링그라운드,D001,경기도 파주시 상지석동 111-3,010-7371-3753,월11:00-20:00 수11:00-20:00,-,화 목 금 토 일
P018,원조녹두,D002,서울시 중구 입정동 272-8,02-2277-0241,16:00-23:00,16:00-23:00,-
P019,천상가옥,D001,서울시 성동구 성수동2가 322-4 성수연방 3층,010-7371-3753,11:00-22:00,11:00-22:00,-
P020,SixDegreesCoffee,D001,서울특별시 광진구 자양동 194-3 1층,02-6954-0161,12:00-19:00,12:00-19:00,월 화
P021,슬로우5션,D002,인천광역시 강화군 길상면 선두리 1044,032-937-6281,10:00-19:00(라스트오더6),10:00-20:00(라스트오더6),화 일
P022,얼띵앤키친,D002,서울특별시 마포구 합정동 357-25,070-7766-6028,11:30-21:30,12:00-22:00,일
P023,MANRI199,D002,서울특별시 중구 만리동1가 62-19,02-363-0199,17:00-01:00,17:00-00:00,토
P024,친봉산장,D001,제주 제주시 구좌읍 송당리 1389-4,0507-1442-5456,-,-,매주(송당리점영업종료.서귀포이전중)
P025,쉬어가기좋은날식당,D002,경상남도 하동군 화개면 운수리 330-14,0507-1403-4375,09:00-21:00,09:00-20:00,-
P026,얼라이브홈,D002,강원도 강릉시 교동 162-129,033-648-4649,11:30-19:00,11:30-19:00,월
P027,도깨비코티지,D002,서울특별시 용산구 후암동 435,02-717-0435,10:00-20:00,10:00-20:00,-
P028,오페라디바스,D001,경기도 고양시 덕양구 행주외동 173,031-938-2500,11:30-22:00,11:30-22:00,-
P029,모터시티,D002,서울특별시 강남구 역삼동 736-1,02-2051-8877,11:00-22:00,11:00-21:30,-
P030,라빈리커스토어,D002,경기도 고양시 덕양구 행주내동 208-2,031-979-1855,10:00-21:00,10:00-20:00,-
P031,칠돈가표선직영점,D002,제주특별자치도 서귀포시 표선면 표선리 44-3,064-787-9275,12:00-22:00,12:00-22:00,-
P032,해이담커피,D001,경상남도 김해시 서상동 309-13,055-333-5517,12:00-21:00,11:30-21:00,-
P033,할타보카,D001,대구광역시 수성구 만촌동 860,053-752-4742,12:00-22:00,토 12:00-22:00  일 12:00-21:00,월
P034,해례커피,D001,서울시 은평구 갈현동 430-1,02-384-1732,12:00-23:00,12:00-23:00,-
P035,와인테라스,D002,경기도 수원시 팔달구 인계동 1042-3,031-221-1992,18:00-02:00,18:00-02:00,-
P036,프랭클린커피로스터스,D001,부산광역시 부산진구 전포동 354-1,051-756-0002,10:00-18:00,11:00-18:00,-
P037,흙과나무,D002,경기도 남양주시 별내면 용암리 122,031-841-1003,11:00-21:00,11:00-21:00,매주화
P038,삼도낙지,D002,경기도 양주시 만송동 484-4,031-856-0033,09:00-22:00,09:00-22:00,-
